tc setting (ms),latency
0,134
0,134
0,135
0,134
0,134
0,135
0,134
25,159
25,159
25,160
25,159
25,159
25,159
50,186
50,184
50,184
50,184
50,184
50,185
100,234
100,234
100,234
100,239
100,234
100,235
100,234
200,303
200,334
200,334
200,372
200,334
200,334
200,334
